"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 1 month for Residential Property Price Index","2018 January","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2018 February","Dublin - all residential properties","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2018 March","Dublin - all residential properties","%","-0.1"
"Percentage Change over 1 month for Residential Property Price Index","2018 April","Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2018 May","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2018 June","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2018 July","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2018 August","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2018 September","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2018 October","Dublin - all residential properties","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2018 November","Dublin - all residential properties","%","-0.7"
"Percentage Change over 1 month for Residential Property Price Index","2018 December","Dublin - all residential properties","%","-0.8"
"Percentage Change over 1 month for Residential Property Price Index","2019 January","Dublin - all residential properties","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2019 February","Dublin - all residential properties","%","-0.3"
"Percentage Change over 1 month for Residential Property Price Index","2019 March","Dublin - all residential properties","%","-0.6"
"Percentage Change over 1 month for Residential Property Price Index","2019 April","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2019 May","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2019 June","Dublin - all residential properties","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2019 July","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2019 August","Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2019 September","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2019 October","Dublin - all residential properties","%","0"
